weight_class,f1_reach,f1_stance,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_stance,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
7,80.0,5,0.4,0,0.0,85,185.0,74.0,2,0.0,27,1.03,77,185.0,18,0,0,17,7,0,29,31,76,73
6,74.0,4,0.0,16,1.0,0,155.0,71.0,2,0.8,50,0.4,80,155.0,7,1,0,9,1,0,23,27,72,71
2,64.0,2,0.0,22,1.25,47,135.0,67.0,2,0.0,0,0.0,71,155.0,9,2,0,9,1,0,27,32,66,67
2,71.0,4,0.0,35,2.6,85,145.0,73.0,4,0.8,75,0.53,58,145.0,12,3,0,15,12,0,25,30,68,70
13,69.0,0,0.1,20,1.51,41,125.0,65.0,0,1.3,0,0.0,0,125.0,23,17,0,10,5,0,36,39,67,64
7,75.0,2,3.0,0,0.0,52,185.0,74.0,2,0.0,50,1.95,83,185.0,7,2,0,12,4,0,28,29,74,72
13,68.0,0,2.3,33,2.69,50,125.0,62.0,2,1.3,100,3.28,100,125.0,10,5,0,4,5,0,23,27,67,63
6,68.0,2,0.0,66,8.49,0,155.0,75.0,4,1.0,31,1.25,47,155.0,3,1,1,7,2,0,27,25,69,75
6,72.0,2,0.0,42,7.08,0,155.0,70.0,2,1.0,0,0.0,57,155.0,7,2,0,13,2,0,33,26,69,67
2,69.0,2,0.0,75,3.0,70,145.0,70.0,4,1.8,28,1.75,33,145.0,9,2,0,12,1,0,27,24,67,70
2,70.0,2,0.4,28,2.02,75,145.0,70.0,2,0.3,28,0.64,61,145.0,18,9,0,22,9,0,28,34,70,70
7,76.0,4,1.9,50,0.76,41,185.0,77.0,4,1.8,41,2.56,46,185.0,11,3,1,29,12,0,28,31,72,73
4,72.0,2,0.5,44,1.95,77,235.0,80.0,2,0.0,37,2.2,73,240.0,22,2,0,19,3,0,39,36,71,76
4,83.0,2,0.5,0,0.0,71,250.0,79.0,2,0.0,25,0.52,53,260.0,14,3,0,22,7,0,32,33,76,75
10,71.0,2,0.0,41,0.61,70,170.0,70.0,2,0.3,27,0.29,59,155.0,13,6,0,17,4,0,27,34,70,71
6,75.0,4,1.2,48,3.55,66,170.0,72.0,2,1.2,54,0.69,58,170.0,16,4,0,22,9,0,31,31,73,70
5,76.0,4,0.2,0,0.0,46,205.0,73.0,2,0.0,0,0.0,100,205.0,9,4,0,1,2,0,28,35,73,72
7,79.0,2,0.2,38,0.75,69,185.0,72.0,0,0.0,0,0.0,80,185.0,16,9,0,13,0,0,34,27,72,73
0,66.0,2,0.3,38,1.54,80,135.0,71.0,2,0.8,36,1.25,50,135.0,27,7,0,17,4,0,36,31,65,68
6,71.0,2,0.5,42,1.35,62,155.0,70.0,2,0.0,30,1.67,68,155.0,10,4,2,11,1,1,26,30,69,69
10,76.0,2,0.0,100,0.43,57,170.0,76.0,2,0.6,54,1.89,63,170.0,17,5,0,15,7,0,31,33,74,71
6,71.0,2,0.7,38,2.43,50,155.0,75.0,5,0.4,33,0.4,78,155.0,17,3,0,20,8,0,32,28,70,72
14,63.0,0,0.6,66,1.18,66,115.0,65.0,2,0.0,21,1.0,50,115.0,4,3,0,4,3,0,27,29,65,61
4,73.0,4,0.2,62,1.07,75,250.0,77.0,2,0.1,55,0.33,80,238.0,18,3,0,21,6,0,32,34,71,76
10,71.0,2,0.6,34,1.81,41,170.0,72.0,2,0.4,29,0.97,57,170.0,11,2,0,17,7,0,22,32,72,71
2,66.0,2,1.1,40,3.89,82,155.0,70.0,4,0.3,13,0.67,66,145.0,18,9,0,21,6,1,32,29,66,72
