weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_sub_avg,f1_td_avg,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_sub_avg,f2_td_avg,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,stk_acc_diff,stk_def_diff,td_acc_diff,td_def_diff
0,69.0,3.63,3.26,4,0.0,0.5,135.0,67.0,3.15,5.65,5,0.2,1.73,135.0,11,7,2,14,1,0,27,25,67,67,-2,-14,-37,-57
0,67.0,2.74,3.54,2,0.7,0.97,135.0,73.0,2.66,2.37,2,0.7,0.93,135.0,15,4,1,18,10,1,21,30,68,68,-7,-2,53,25
2,69.0,4.47,3.04,2,0.0,0.3,145.0,72.0,5.09,6.1,2,0.0,0.76,145.0,9,7,1,13,4,0,28,25,68,68,-3,-5,-5,4
10,71.0,4.28,4.13,2,0.0,0.0,170.0,72.0,5.08,3.59,2,0.0,0.93,170.0,15,5,0,4,4,0,28,30,72,71,7,-3,-100,50
10,70.0,3.75,3.23,2,0.0,1.83,170.0,73.0,2.02,3.07,2,0.8,1.99,170.0,10,3,0,15,4,0,33,24,67,71,12,-18,-22,9
14,63.0,4.22,6.85,2,0.0,0.25,115.0,63.0,4.48,2.7,2,0.2,0.25,115.0,11,1,0,13,2,0,29,25,65,61,10,6,-50,38
3,71.0,3.37,3.67,2,2.5,0.0,125.0,70.0,3.69,3.64,2,1.8,0.7,125.0,11,1,0,14,4,0,21,28,69,68,1,-2,-40,2
3,71.0,2.5,2.16,4,1.2,3.03,125.0,68.0,3.53,1.44,2,0.8,0.55,125.0,21,6,2,7,5,0,29,30,70,65,-1,-3,-23,-10
13,66.0,4.0,4.03,0,0.0,0.0,125.0,72.0,4.74,4.49,2,0.0,0.0,125.0,4,4,2,9,2,2,31,29,66,67,8,3,0,60
7,80.0,2.6,4.46,5,0.4,0.0,185.0,74.0,2.76,3.0,2,0.0,1.03,185.0,18,0,0,17,7,0,29,31,76,73,10,11,-27,8
6,74.0,2.8,1.93,4,0.0,1.0,155.0,71.0,2.11,3.02,2,0.8,0.4,155.0,7,1,0,9,1,0,23,27,72,71,-15,-23,-34,-80
2,64.0,2.98,3.33,2,0.0,1.25,135.0,67.0,4.73,0.93,2,0.0,0.0,155.0,9,2,0,9,1,0,27,32,66,67,30,21,22,-24
2,71.0,5.72,7.66,4,0.0,2.6,145.0,73.0,2.86,3.98,4,0.8,0.53,145.0,12,3,0,15,12,0,25,30,68,70,-9,-13,-40,27
13,69.0,5.31,3.3,0,0.1,1.51,125.0,65.0,4.67,4.04,0,1.3,0.0,125.0,23,17,0,10,5,0,36,39,67,64,1,-12,20,41
7,75.0,3.33,3.8,2,3.0,0.0,185.0,74.0,3.22,3.2,2,0.0,1.95,185.0,7,2,0,12,4,0,28,29,74,72,-2,-9,-50,-31
13,68.0,3.28,2.49,0,2.3,2.69,125.0,62.0,3.28,2.32,2,1.3,3.28,125.0,10,5,0,4,5,0,23,27,67,63,-12,-12,-67,-50
6,68.0,2.26,1.98,2,0.0,8.49,155.0,75.0,2.74,3.7,4,1.0,1.25,155.0,3,1,1,7,2,0,27,25,69,75,32,13,35,-47
6,72.0,3.72,1.65,2,0.0,7.08,155.0,70.0,1.8,3.93,2,1.0,0.0,155.0,7,2,0,13,2,0,33,26,69,67,-15,-15,42,-57
2,69.0,2.53,3.4,2,0.0,3.0,145.0,70.0,1.81,1.78,4,1.8,1.75,145.0,9,2,0,12,1,0,27,24,67,70,-3,-15,47,37
2,70.0,5.89,4.65,2,0.4,2.02,145.0,70.0,4.45,4.36,2,0.3,0.64,145.0,18,9,0,22,9,0,28,34,70,70,-6,-2,0,14
7,76.0,3.04,3.19,4,1.9,0.76,185.0,77.0,3.25,2.73,4,1.8,2.56,185.0,11,3,1,29,12,0,28,31,72,73,13,2,9,-5
4,72.0,2.75,4.25,2,0.5,1.95,235.0,80.0,3.69,4.95,2,0.0,2.2,240.0,22,2,0,19,3,0,39,36,71,76,0,0,7,4
4,83.0,1.97,2.15,2,0.5,0.0,250.0,79.0,2.29,2.63,2,0.0,0.52,260.0,14,3,0,22,7,0,32,33,76,75,-12,4,-25,18
10,71.0,4.5,4.27,2,0.0,0.61,170.0,70.0,3.17,3.55,2,0.3,0.29,155.0,13,6,0,17,4,0,27,34,70,71,4,7,14,11
6,75.0,2.09,2.28,4,1.2,3.55,170.0,72.0,3.48,2.97,2,1.2,0.69,170.0,16,4,0,22,9,0,31,31,73,70,-5,-2,-6,8
5,76.0,2.85,3.01,4,0.2,0.0,205.0,73.0,4.57,7.09,2,0.0,0.0,205.0,9,4,0,1,2,0,28,35,73,72,-18,-6,0,-54
7,79.0,3.57,3.31,2,0.2,0.75,185.0,72.0,6.84,8.43,0,0.0,0.0,185.0,16,9,0,13,0,0,34,27,72,73,-7,0,38,-11
0,66.0,2.35,3.32,2,0.3,1.54,135.0,71.0,3.89,5.11,2,0.8,1.25,135.0,27,7,0,17,4,0,36,31,65,68,0,5,2,30
6,71.0,4.77,4.41,2,0.5,1.35,155.0,70.0,3.74,3.98,2,0.0,1.67,155.0,10,4,2,11,1,1,26,30,69,69,-10,0,12,-6
10,76.0,2.95,3.86,2,0.0,0.43,170.0,76.0,4.11,4.22,2,0.6,1.89,170.0,17,5,0,15,7,0,31,33,74,71,-3,5,46,-6
6,71.0,3.05,3.09,2,0.7,2.43,155.0,75.0,4.72,4.73,5,0.4,0.4,155.0,17,3,0,20,8,0,32,28,70,72,-1,2,5,-28
14,63.0,2.95,2.84,0,0.6,1.18,115.0,65.0,4.0,4.51,2,0.0,1.0,115.0,4,3,0,4,3,0,27,29,65,61,-20,-10,45,16
4,73.0,3.93,3.09,4,0.2,1.07,250.0,77.0,3.09,4.76,2,0.1,0.33,238.0,18,3,0,21,6,0,32,34,71,76,-10,-3,7,-5
10,71.0,1.96,3.58,2,0.6,1.81,170.0,72.0,2.73,2.63,2,0.4,0.97,170.0,11,2,0,17,7,0,22,32,72,71,16,0,5,-16
2,66.0,3.07,4.42,2,1.1,3.89,155.0,70.0,4.29,4.31,4,0.3,0.67,145.0,18,9,0,21,6,1,32,29,66,72,4,6,27,16
10,76.0,4.46,3.06,2,1.3,1.08,170.0,78.0,2.42,3.41,2,0.6,0.95,170.0,14,3,0,12,3,0,29,28,72,75,-13,-4,-23,-10
2,73.0,2.16,2.94,2,0.3,2.16,145.0,66.0,2.35,2.78,2,0.3,4.13,145.0,17,4,0,18,5,0,30,33,70,66,-7,-1,0,-50
11,68.0,1.63,2.57,4,0.8,2.77,145.0,68.0,2.93,3.46,2,1.1,0.35,135.0,10,4,0,9,5,1,36,41,66,66,20,-18,-35,-9
0,69.0,3.51,3.41,2,0.1,0.28,135.0,67.0,2.94,3.52,2,0.1,0.52,135.0,24,13,1,22,8,1,34,29,67,66,-6,6,8,13
2,71.0,3.14,6.15,2,0.4,2.16,145.0,71.0,2.8,3.27,2,1.3,2.52,145.0,21,1,0,25,8,0,30,34,66,70,21,6,-1,14
3,66.0,2.16,3.56,4,0.5,3.42,125.0,70.0,1.95,4.69,2,0.0,0.86,135.0,11,5,0,13,1,0,26,26,67,68,-8,-9,54,-18
2,67.0,4.85,5.77,2,1.0,2.46,135.0,70.0,4.28,4.51,2,0.7,0.97,155.0,14,1,0,17,7,0,31,32,67,71,11,17,35,30
13,64.0,3.78,4.05,2,0.0,0.25,125.0,66.0,2.51,2.78,2,0.3,2.57,125.0,17,6,1,13,7,0,30,34,64,66,-16,-8,-1,10
3,65.0,4.04,3.05,2,0.3,0.77,135.0,67.0,5.05,1.59,4,1.4,0.68,125.0,11,3,0,6,2,0,24,26,66,65,9,3,3,9
14,64.0,7.37,4.1,2,0.0,0.75,115.0,63.0,7.19,4.93,2,0.2,0.94,115.0,6,6,0,20,8,0,32,36,61,63,-19,-1,-4,33
5,76.0,4.28,3.06,2,0.8,0.41,205.0,76.0,2.68,3.63,2,0.8,2.17,205.0,32,14,0,26,11,1,30,37,76,73,-3,-11,-22,4
5,76.0,3.84,3.41,2,1.0,2.0,205.0,79.0,2.18,4.45,2,0.0,4.98,205.0,30,7,0,14,4,0,39,29,74,75,-2,-5,-12,-23
7,76.0,1.27,3.2,2,0.0,1.0,185.0,77.0,2.95,2.98,2,0.2,0.95,185.0,14,1,1,13,7,0,32,39,69,73,-8,-1,45,-25
4,84.0,4.0,3.13,2,1.7,0.58,265.0,78.0,3.2,3.61,2,0.1,1.48,249.0,33,12,0,17,6,0,30,33,83,75,-4,-6,-11,-26
10,74.0,3.08,3.41,4,0.4,0.18,170.0,75.0,4.32,3.38,2,3.3,0.94,170.0,17,5,0,17,5,0,31,28,73,72,3,-1,-16,-7
6,73.0,2.41,2.86,2,0.0,2.5,155.0,72.0,3.2,5.24,4,0.0,0.3,155.0,14,3,0,11,2,0,25,23,70,70,-9,-17,15,-14
6,70.0,3.0,3.0,2,0.2,0.68,155.0,66.0,3.61,2.65,4,0.0,0.86,155.0,13,5,0,14,5,0,32,34,69,66,11,7,27,-43
10,74.0,2.64,2.24,5,1.3,0.33,170.0,75.0,1.35,2.22,2,0.0,7.17,170.0,9,4,1,14,3,0,30,32,71,72,-32,-21,-20,-32
2,70.0,2.8,3.8,2,0.0,2.64,145.0,69.0,2.29,2.64,2,0.5,0.0,135.0,12,3,0,14,2,0,31,26,68,65,-7,15,41,12
5,80.0,4.46,3.45,2,0.3,0.32,205.0,78.0,1.63,5.25,2,0.0,1.29,205.0,9,2,0,12,1,0,30,26,76,76,-11,-2,-10,-48
0,71.0,2.68,2.92,2,3.1,3.06,145.0,69.0,1.68,3.13,0,0.0,2.64,135.0,14,2,0,11,4,0,24,33,70,68,9,-19,7,-64
5,72.0,3.84,2.81,5,0.0,1.41,205.0,76.0,2.83,2.86,2,0.0,2.26,205.0,15,8,0,13,3,0,27,26,72,72,0,-10,-18,-33
0,72.0,3.55,2.6,2,1.4,0.34,135.0,70.0,3.1,1.86,2,0.6,2.64,135.0,13,6,0,10,6,0,25,28,66,65,-5,2,-15,12
6,69.0,4.39,4.32,2,0.5,2.92,155.0,72.0,3.97,5.51,4,1.2,1.55,155.0,29,6,0,25,6,0,34,29,69,69,-8,-1,-1,31
2,70.0,3.18,3.47,2,0.1,0.64,135.0,71.0,2.98,3.09,2,0.4,1.18,145.0,28,6,0,28,17,0,32,32,67,69,4,7,27,26
14,60.0,3.46,4.04,2,0.1,0.67,115.0,65.0,2.73,6.18,2,0.1,0.3,125.0,10,5,0,16,3,0,29,31,61,66,0,-3,-48,-29
6,72.0,3.25,3.07,2,0.0,1.52,155.0,70.0,2.97,2.48,4,0.5,2.36,155.0,11,2,0,12,5,0,26,29,69,69,-10,-5,-3,-13
10,72.0,3.02,4.42,2,0.6,0.0,170.0,73.0,2.55,3.35,2,0.2,1.56,170.0,17,5,0,31,12,0,28,29,71,72,-5,-8,-58,-35
2,73.0,2.31,5.28,2,0.0,0.0,145.0,72.0,6.38,4.52,2,0.2,0.44,145.0,11,1,1,16,6,0,27,27,68,72,5,2,-18,28
6,75.0,1.59,2.47,2,0.2,1.54,155.0,70.0,0.76,2.1,2,0.8,3.4,155.0,23,14,1,18,1,0,34,27,71,70,-14,-8,-31,-31
