weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
3,69.0,2.91,3.88,2,37,65,0.4,40,0.85,67,125.0,65.0,2.52,3.46,4,33,63,0.6,31,1.53,65,125.0,18,5,0,28,5,0,25,34,66,64,0.782608695652174,0.8484848484848485
6,70.0,2.46,2.45,2,33,65,0.7,37,3.32,69,155.0,74.0,3.03,3.21,2,50,54,2.8,42,2.77,58,155.0,35,16,0,28,8,0,37,29,67,70,0.6862745098039216,0.7777777777777778
2,71.0,3.07,4.15,2,49,61,1.0,34,2.73,54,145.0,69.0,3.58,3.44,2,49,36,1.1,50,2.66,53,145.0,12,2,0,21,12,0,27,29,67,70,0.8571428571428571,0.6363636363636364
10,73.0,4.23,4.34,2,46,53,1.3,36,1.21,73,155.0,74.0,2.05,2.53,4,47,55,0.4,31,1.39,70,170.0,36,13,0,18,3,0,35,27,73,74,0.7346938775510204,0.8571428571428571
5,80.0,2.86,2.59,4,46,44,0.6,40,1.34,65,205.0,79.0,2.55,2.7,2,62,48,1.5,25,0.74,52,205.0,24,13,0,7,3,0,35,27,75,75,0.6486486486486487,0.7
13,64.0,4.73,4.53,2,47,60,0.5,50,1.0,62,125.0,66.0,3.39,3.79,2,38,59,0.7,45,0.46,59,125.0,9,6,0,15,7,0,31,32,65,66,0.6,0.6818181818181818
10,71.0,3.55,4.9,2,43,61,0.0,36,1.24,63,170.0,71.0,4.49,3.8,2,33,56,0.0,50,0.33,0,170.0,17,5,0,6,2,0,30,27,72,71,0.7727272727272727,0.75
0,69.0,3.63,3.26,4,44,53,0.0,16,0.5,30,135.0,67.0,3.15,5.65,5,46,67,0.2,53,1.73,87,135.0,11,7,2,14,1,0,27,25,67,67,0.55,0.9333333333333333
0,67.0,2.74,3.54,2,38,62,0.7,100,0.97,66,135.0,73.0,2.66,2.37,2,45,64,0.7,47,0.93,41,135.0,15,4,1,18,10,1,21,30,68,68,0.75,0.6206896551724138
2,69.0,4.47,3.04,2,37,52,0.0,20,0.3,68,145.0,72.0,5.09,6.1,2,40,57,0.0,25,0.76,64,145.0,9,7,1,13,4,0,28,25,68,68,0.5294117647058824,0.7647058823529411
10,71.0,4.28,4.13,2,45,56,0.0,0,0.0,50,170.0,72.0,5.08,3.59,2,38,59,0.0,100,0.93,0,170.0,15,5,0,4,4,0,28,30,72,71,0.75,0.5
10,70.0,3.75,3.23,2,58,45,0.0,16,1.83,75,170.0,73.0,2.02,3.07,2,46,63,0.8,38,1.99,66,170.0,10,3,0,15,4,0,33,24,67,71,0.7692307692307693,0.7894736842105263
14,63.0,4.22,6.85,2,40,64,0.0,50,0.25,66,115.0,63.0,4.48,2.7,2,30,58,0.2,100,0.25,28,115.0,11,1,0,13,2,0,29,25,65,61,0.9166666666666666,0.8666666666666667
3,71.0,3.37,3.67,2,35,60,2.5,0,0.0,60,125.0,70.0,3.69,3.64,2,34,62,1.8,40,0.7,58,125.0,11,1,0,14,4,0,21,28,69,68,0.9166666666666666,0.7777777777777778
