f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
79.0,3.57,3.31,2,50,53,0.2,38,0.75,69,72.0,6.84,8.43,0,57,53,0.0,0,0.0,80,16,9,13,0,34,27
66.0,2.35,3.32,2,41,68,0.3,38,1.54,80,71.0,3.89,5.11,2,41,63,0.8,36,1.25,50,27,7,17,4,36,31
71.0,4.77,4.41,2,42,54,0.5,42,1.35,62,70.0,3.74,3.98,2,52,54,0.0,30,1.67,68,10,4,11,1,26,30
76.0,2.95,3.86,2,46,61,0.0,100,0.43,57,76.0,4.11,4.22,2,49,56,0.6,54,1.89,63,17,5,15,7,31,33
71.0,3.05,3.09,2,43,57,0.7,38,2.43,50,75.0,4.72,4.73,5,44,55,0.4,33,0.4,78,17,3,20,8,32,28
63.0,2.95,2.84,0,31,55,0.6,66,1.18,66,65.0,4.0,4.51,2,51,65,0.0,21,1.0,50,4,3,4,3,27,29
73.0,3.93,3.09,4,38,55,0.2,62,1.07,75,77.0,3.09,4.76,2,48,58,0.1,55,0.33,80,18,3,21,6,32,34
71.0,1.96,3.58,2,52,58,0.6,34,1.81,41,72.0,2.73,2.63,2,36,58,0.4,29,0.97,57,11,2,17,7,22,32
66.0,3.07,4.42,2,46,59,1.1,40,3.89,82,70.0,4.29,4.31,4,42,53,0.3,13,0.67,66,18,9,21,6,32,29
76.0,4.46,3.06,2,34,51,1.3,23,1.08,61,78.0,2.42,3.41,2,47,55,0.6,46,0.95,71,14,3,12,3,29,28
73.0,2.16,2.94,2,42,66,0.3,55,2.16,50,66.0,2.35,2.78,2,49,67,0.3,55,4.13,100,17,4,18,5,30,33
68.0,1.63,2.57,4,61,47,0.8,65,2.77,42,68.0,2.93,3.46,2,41,65,1.1,100,0.35,51,10,4,9,5,36,41
69.0,3.51,3.41,2,29,70,0.1,28,0.28,86,67.0,2.94,3.52,2,35,64,0.1,20,0.52,73,24,13,22,8,34,29
