weight_class,f1_reach,f1_stance,f1_weight,f2_reach,f2_stance,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,slpm_diff,sapm_diff,stk_atk_diff,stk_def_diff,stk_acc_diff,td_acc_diff,td_def_diff
2,71.0,2,145.0,70.0,2,145.0,19,8,0,13,2,0,36,27,68,68,0.0,0.9600000000000002,3,-1,3,-21,-53
4,80.0,2,250.0,76.0,2,205.0,5,3,0,9,4,0,39,37,75,71,-0.7400000000000002,-0.3099999999999996,-11,-7,-11,30,-29
5,75.0,2,205.0,76.0,2,205.0,24,8,1,32,14,0,39,30,72,76,-0.9199999999999999,-1.8600000000000003,-10,19,-10,18,22
3,69.0,2,125.0,65.0,4,125.0,18,5,0,28,5,0,25,34,66,64,0.41999999999999993,0.3900000000000001,4,2,4,9,2
6,70.0,2,155.0,74.0,2,155.0,35,16,0,28,8,0,37,29,67,70,-0.7599999999999998,-0.5699999999999998,-17,11,-17,-5,11
2,71.0,2,145.0,69.0,2,145.0,12,2,0,21,12,0,27,29,67,70,0.7100000000000004,-0.5100000000000002,0,25,0,-16,1
10,73.0,2,155.0,74.0,4,170.0,36,13,0,18,3,0,35,27,73,74,1.81,2.1800000000000006,-1,-2,-1,5,3
5,80.0,4,205.0,79.0,2,205.0,24,13,0,7,3,0,35,27,75,75,-0.11000000000000032,0.31000000000000005,-16,-4,-16,15,13
13,64.0,2,125.0,66.0,2,125.0,9,6,0,15,7,0,31,32,65,66,0.7400000000000002,1.3400000000000003,9,1,9,5,3
10,71.0,2,170.0,71.0,2,170.0,17,5,0,6,2,0,30,27,72,71,1.1000000000000005,-0.9400000000000004,10,5,10,-14,63
0,69.0,4,135.0,67.0,5,135.0,11,7,2,14,1,0,27,25,67,67,-2.3900000000000006,0.48,-2,-14,-2,-37,-57
0,67.0,2,135.0,73.0,2,135.0,15,4,1,18,10,1,21,30,68,68,1.17,0.08000000000000007,-7,-2,-7,53,25
2,69.0,2,145.0,72.0,2,145.0,9,7,1,13,4,0,28,25,68,68,-3.0599999999999996,-0.6200000000000001,-3,-5,-3,-5,4
10,71.0,2,170.0,72.0,2,170.0,15,5,0,4,4,0,28,30,72,71,0.54,-0.7999999999999998,7,-3,7,-100,50
10,70.0,2,170.0,73.0,2,170.0,10,3,0,15,4,0,33,24,67,71,0.16000000000000014,1.73,12,-18,12,-22,9
14,63.0,2,115.0,63.0,2,115.0,11,1,0,13,2,0,29,25,65,61,4.1499999999999995,-0.2600000000000007,10,6,10,-50,38
3,71.0,2,125.0,70.0,2,125.0,11,1,0,14,4,0,21,28,69,68,0.029999999999999805,-0.31999999999999984,1,-2,1,-40,2
3,71.0,4,125.0,68.0,2,125.0,21,6,2,7,5,0,29,30,70,65,0.7200000000000002,-1.0299999999999998,-1,-3,-1,-23,-10
13,66.0,0,125.0,72.0,2,125.0,4,4,2,9,2,2,31,29,66,67,-0.45999999999999996,-0.7400000000000002,8,3,8,0,60
7,80.0,5,185.0,74.0,2,185.0,18,0,0,17,7,0,29,31,76,73,1.46,-0.1599999999999997,10,11,10,-27,8
6,74.0,4,155.0,71.0,2,155.0,7,1,0,9,1,0,23,27,72,71,-1.09,0.69,-15,-23,-15,-34,-80
2,64.0,2,135.0,67.0,2,155.0,9,2,0,9,1,0,27,32,66,67,2.4,-1.7500000000000004,30,21,30,22,-24
2,71.0,4,145.0,73.0,4,145.0,12,3,0,15,12,0,25,30,68,70,3.68,2.86,-9,-13,-9,-40,27
13,69.0,0,125.0,65.0,0,125.0,23,17,0,10,5,0,36,39,67,64,-0.7400000000000002,0.6399999999999997,1,-12,1,20,41
7,75.0,2,185.0,74.0,2,185.0,7,2,0,12,4,0,28,29,74,72,0.5999999999999996,0.10999999999999988,-2,-9,-2,-50,-31
13,68.0,0,125.0,62.0,2,125.0,10,5,0,4,5,0,23,27,67,63,0.17000000000000037,0.0,-12,-12,-12,-67,-50
6,68.0,2,155.0,75.0,4,155.0,3,1,1,7,2,0,27,25,69,75,-1.7200000000000002,-0.4800000000000004,32,13,32,35,-47
6,72.0,2,155.0,70.0,2,155.0,7,2,0,13,2,0,33,26,69,67,-2.2800000000000002,1.9200000000000002,-15,-15,-15,42,-57
2,69.0,2,145.0,70.0,4,145.0,9,2,0,12,1,0,27,24,67,70,1.6199999999999999,0.7199999999999998,-3,-15,-3,47,37
