weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,win_rate_diff
10,71.0,2.83,2.47,2,39,60,0.4,47,2.04,86,170.0,77.0,3.58,3.23,2,50,51,1.3,40,0.2,66,170.0,31,15,0,22,13,2,33,35,69,74,0.07931844888366624
2,70.0,2.87,4.25,4,36,67,0.6,30,0.58,93,145.0,69.0,3.93,3.08,2,46,56,0.3,18,0.56,60,145.0,16,4,0,7,4,0,29,30,67,65,0.1636363636363637
5,76.0,5.34,4.26,2,42,55,0.0,23,0.53,83,205.0,75.0,3.2,3.05,4,44,55,0.1,16,0.09,82,205.0,17,11,0,33,13,0,33,32,75,74,-0.11024844720496896
13,67.0,3.42,4.77,0,39,58,0.0,44,2.0,63,135.0,67.0,3.59,3.53,2,38,61,0.0,28,0.89,62,125.0,5,4,0,11,4,0,33,35,64,65,-0.1777777777777777
6,68.0,3.09,3.47,2,50,49,1.3,34,3.59,44,155.0,73.0,3.53,4.69,4,43,55,0.0,33,0.94,77,155.0,30,10,2,8,2,0,34,29,68,69,-0.08571428571428574
10,72.0,3.81,4.37,2,41,60,0.2,31,2.15,83,170.0,75.0,3.62,1.1,4,20,49,0.3,26,1.35,16,170.0,16,3,0,14,4,0,30,32,71,74,0.0643274853801169
6,71.0,2.51,1.95,4,31,63,0.8,53,4.08,92,155.0,73.0,2.51,3.7,4,46,69,0.0,50,1.62,75,155.0,40,14,0,23,8,0,35,29,70,70,-0.0011947431302270495
0,69.0,2.94,4.24,2,42,58,2.0,66,2.05,80,135.0,71.0,3.34,2.89,2,38,63,0.5,0,0.0,62,135.0,16,3,0,28,12,0,25,40,66,67,0.14210526315789473
3,62.0,1.66,2.12,5,46,62,0.6,57,4.54,69,125.0,65.0,9.84,4.37,2,36,50,0.0,33,1.28,75,125.0,14,2,0,8,1,0,25,26,63,64,-0.01388888888888884
7,73.0,3.7,4.77,2,39,61,0.0,57,0.36,84,185.0,73.0,3.21,3.71,4,49,60,0.0,31,1.79,78,185.0,21,5,0,13,4,0,28,41,72,72,0.042986425339366585
10,70.0,3.28,3.57,4,45,62,0.7,39,1.89,60,170.0,72.0,3.02,4.17,2,37,55,0.2,51,4.91,78,170.0,29,12,0,15,2,0,34,30,68,71,-0.1750358680057389
12,69.0,2.83,2.82,4,34,57,0.1,31,0.55,79,135.0,72.0,3.17,1.8,2,46,34,0.6,50,0.64,50,145.0,12,5,0,10,4,0,37,28,68,72,-0.008403361344537785
4,77.0,2.69,3.55,2,44,59,0.3,36,0.52,79,240.0,75.0,3.54,4.09,4,48,51,0.0,0,0.0,42,264.0,28,19,0,10,3,0,39,25,75,74,-0.17348608837970547
10,74.0,1.33,4.25,2,58,75,0.0,100,0.95,88,170.0,73.0,4.87,1.1,2,23,40,0.0,11,0.87,0,170.0,1,1,0,0,2,0,33,40,74,73,0.5
4,80.0,2.15,3.54,2,62,59,0.9,53,1.39,73,265.0,80.0,1.9,3.69,2,51,55,0.0,60,7.05,25,265.0,45,18,0,12,2,0,38,27,76,76,-0.1428571428571428
14,63.0,4.38,3.17,2,42,58,0.8,47,3.34,58,115.0,63.0,2.86,2.22,0,40,53,0.3,36,3.53,48,115.0,17,4,0,16,6,0,30,31,64,61,0.08225108225108224
2,71.0,2.66,2.88,2,45,59,1.0,32,1.63,47,145.0,70.0,1.7,2.88,2,42,60,0.4,53,3.38,100,145.0,19,8,0,13,2,0,36,27,68,68,-0.16296296296296298
4,80.0,6.37,4.08,2,45,43,1.0,30,2.02,33,250.0,76.0,6.68,4.82,2,56,50,0.0,0,0.0,62,205.0,5,3,0,9,4,0,39,37,75,71,-0.06730769230769229
5,75.0,2.42,2.14,2,37,63,0.0,44,2.98,73,205.0,76.0,4.28,3.06,2,47,44,0.8,26,0.41,51,205.0,24,8,1,32,14,0,39,30,72,76,0.031620553359683834
3,69.0,2.91,3.88,2,37,65,0.4,40,0.85,67,125.0,65.0,2.52,3.46,4,33,63,0.6,31,1.53,65,125.0,18,5,0,28,5,0,25,34,66,64,-0.06587615283267456
6,70.0,2.46,2.45,2,33,65,0.7,37,3.32,69,155.0,74.0,3.03,3.21,2,50,54,2.8,42,2.77,58,155.0,35,16,0,28,8,0,37,29,67,70,-0.09150326797385622
2,71.0,3.07,4.15,2,49,61,1.0,34,2.73,54,145.0,69.0,3.58,3.44,2,49,36,1.1,50,2.66,53,145.0,12,2,0,21,12,0,27,29,67,70,0.22077922077922074
10,73.0,4.23,4.34,2,46,53,1.3,36,1.21,73,155.0,74.0,2.05,2.53,4,47,55,0.4,31,1.39,70,170.0,36,13,0,18,3,0,35,27,73,74,-0.12244897959183665
5,80.0,2.86,2.59,4,46,44,0.6,40,1.34,65,205.0,79.0,2.55,2.7,2,62,48,1.5,25,0.74,52,205.0,24,13,0,7,3,0,35,27,75,75,-0.05135135135135127
13,64.0,4.73,4.53,2,47,60,0.5,50,1.0,62,125.0,66.0,3.39,3.79,2,38,59,0.7,45,0.46,59,125.0,9,6,0,15,7,0,31,32,65,66,-0.08181818181818179
10,71.0,3.55,4.9,2,43,61,0.0,36,1.24,63,170.0,71.0,4.49,3.8,2,33,56,0.0,50,0.33,0,170.0,17,5,0,6,2,0,30,27,72,71,0.022727272727272707
0,69.0,3.63,3.26,4,44,53,0.0,16,0.5,30,135.0,67.0,3.15,5.65,5,46,67,0.2,53,1.73,87,135.0,11,7,2,14,1,0,27,25,67,67,-0.3833333333333333
0,67.0,2.74,3.54,2,38,62,0.7,100,0.97,66,135.0,73.0,2.66,2.37,2,45,64,0.7,47,0.93,41,135.0,15,4,1,18,10,1,21,30,68,68,0.1293103448275862
2,69.0,4.47,3.04,2,37,52,0.0,20,0.3,68,145.0,72.0,5.09,6.1,2,40,57,0.0,25,0.76,64,145.0,9,7,1,13,4,0,28,25,68,68,-0.23529411764705876
10,71.0,4.28,4.13,2,45,56,0.0,0,0.0,50,170.0,72.0,5.08,3.59,2,38,59,0.0,100,0.93,0,170.0,15,5,0,4,4,0,28,30,72,71,0.25
10,70.0,3.75,3.23,2,58,45,0.0,16,1.83,75,170.0,73.0,2.02,3.07,2,46,63,0.8,38,1.99,66,170.0,10,3,0,15,4,0,33,24,67,71,-0.020242914979757054
14,63.0,4.22,6.85,2,40,64,0.0,50,0.25,66,115.0,63.0,4.48,2.7,2,30,58,0.2,100,0.25,28,115.0,11,1,0,13,2,0,29,25,65,61,0.04999999999999993
3,71.0,3.37,3.67,2,35,60,2.5,0,0.0,60,125.0,70.0,3.69,3.64,2,34,62,1.8,40,0.7,58,125.0,11,1,0,14,4,0,21,28,69,68,0.13888888888888884
3,71.0,2.5,2.16,4,41,50,1.2,43,3.03,41,125.0,68.0,3.53,1.44,2,42,53,0.8,66,0.55,51,125.0,21,6,2,7,5,0,29,30,70,65,0.1408045977011494
13,66.0,4.0,4.03,0,41,62,0.0,0,0.0,100,125.0,72.0,4.74,4.49,2,33,59,0.0,0,0.0,40,125.0,4,4,2,9,2,2,31,29,66,67,-0.29230769230769227
7,80.0,2.6,4.46,5,50,66,0.4,0,0.0,85,185.0,74.0,2.76,3.0,2,40,55,0.0,27,1.03,77,185.0,18,0,0,17,7,0,29,31,76,73,0.29166666666666663
6,74.0,2.8,1.93,4,38,40,0.0,16,1.0,0,155.0,71.0,2.11,3.02,2,53,63,0.8,50,0.4,80,155.0,7,1,0,9,1,0,23,27,72,71,-0.025000000000000022
2,64.0,2.98,3.33,2,51,57,0.0,22,1.25,47,135.0,67.0,4.73,0.93,2,21,36,0.0,0,0.0,71,155.0,9,2,0,9,1,0,27,32,66,67,-0.08181818181818179
2,71.0,5.72,7.66,4,39,51,0.0,35,2.6,85,145.0,73.0,2.86,3.98,4,48,64,0.8,75,0.53,58,145.0,12,3,0,15,12,0,25,30,68,70,0.24444444444444446
13,69.0,5.31,3.3,0,31,54,0.1,20,1.51,41,125.0,65.0,4.67,4.04,0,30,66,1.3,0,0.0,0,125.0,23,17,0,10,5,0,36,39,67,64,-0.09166666666666667
7,75.0,3.33,3.8,2,40,53,3.0,0,0.0,52,185.0,74.0,3.22,3.2,2,42,62,0.0,50,1.95,83,185.0,7,2,0,12,4,0,28,29,74,72,0.02777777777777779
13,68.0,3.28,2.49,0,31,47,2.3,33,2.69,50,125.0,62.0,3.28,2.32,2,43,59,1.3,100,3.28,100,125.0,10,5,0,4,5,0,23,27,67,63,0.2222222222222222
6,68.0,2.26,1.98,2,77,65,0.0,66,8.49,0,155.0,75.0,2.74,3.7,4,45,52,1.0,31,1.25,47,155.0,3,1,1,7,2,0,27,25,69,75,-0.1777777777777778
6,72.0,3.72,1.65,2,37,46,0.0,42,7.08,0,155.0,70.0,1.8,3.93,2,52,61,1.0,0,0.0,57,155.0,7,2,0,13,2,0,33,26,69,67,-0.0888888888888889
2,69.0,2.53,3.4,2,47,44,0.0,75,3.0,70,145.0,70.0,1.81,1.78,4,50,59,1.8,28,1.75,33,145.0,9,2,0,12,1,0,27,24,67,70,-0.1048951048951049
2,70.0,5.89,4.65,2,35,56,0.4,28,2.02,75,145.0,70.0,4.45,4.36,2,41,58,0.3,28,0.64,61,145.0,18,9,0,22,9,0,28,34,70,70,-0.043010752688172116
7,76.0,3.04,3.19,4,55,54,1.9,50,0.76,41,185.0,77.0,3.25,2.73,4,42,52,1.8,41,2.56,46,185.0,11,3,1,29,12,0,28,31,72,73,0.026016260162601612
4,72.0,2.75,4.25,2,52,56,0.5,44,1.95,77,235.0,80.0,3.69,4.95,2,52,56,0.0,37,2.2,73,240.0,22,2,0,19,3,0,39,36,71,76,0.05303030303030298
4,83.0,1.97,2.15,2,37,48,0.5,0,0.0,71,250.0,79.0,2.29,2.63,2,49,44,0.0,25,0.52,53,260.0,14,3,0,22,7,0,32,33,76,75,0.06490872210953347
10,71.0,4.5,4.27,2,47,57,0.0,41,0.61,70,170.0,70.0,3.17,3.55,2,43,50,0.3,27,0.29,59,155.0,13,6,0,17,4,0,27,34,70,71,-0.12531328320802004
6,75.0,2.09,2.28,4,41,51,1.2,48,3.55,66,170.0,72.0,3.48,2.97,2,46,53,1.2,54,0.69,58,170.0,16,4,0,22,9,0,31,31,73,70,0.0903225806451613
5,76.0,2.85,3.01,4,40,47,0.2,0,0.0,46,205.0,73.0,4.57,7.09,2,58,53,0.0,0,0.0,100,205.0,9,4,0,1,2,0,28,35,73,72,0.358974358974359
7,79.0,3.57,3.31,2,50,53,0.2,38,0.75,69,185.0,72.0,6.84,8.43,0,57,53,0.0,0,0.0,80,185.0,16,9,0,13,0,0,34,27,72,73,-0.36
